adress,info,price,district,date,street,dom,clean,rooms,m2,floor,max_floors,rubm2
"Селенгинская, 9","1-к квартира, 45.9 м², 1/10 эт.",3450000,р-н Центральный,29 июня 13:45,Селенгинская,9,Селенгинская 9,1,45.9,1,10,75163.39869281046
" Ханпаши Нурадилова, 7","1-к квартира, 51 м², 17/22 эт.",3350000,р-н Центральный,25 июня 20:19,Ханпаши Нурадилова,7,Ханпаши Нурадилова 7,1,51.0,17,22,65686.27450980392
" Андреева, 13","1-к квартира, 352 м², 3/5 эт.",1700000,р-н Тракторозаводский,1 июля 17:35,Андреева,13,Андреева 13,1,352.0,3,5,4829.545454545455
" Грибанова, 12","1-к квартира, 34.5 м², 4/4 эт.",1870000,р-н Советский,1 июля 12:00,Грибанова,12,Грибанова 12,1,34.5,4,4,54202.89855072464
" Николая Отрады, 15","1-к квартира, 32 м², 5/9 эт.",1900000,р-н Тракторозаводский,1 июля 12:10,Николая Отрады,15,Николая Отрады 15,1,32.0,5,9,59375.0
"пр-кт маршала Жукова, 5","1-к квартира, 45.7 м², 17/23 эт.",3300000,р-н Дзержинский,1 июля 12:11,пр-кт маршала Жукова,5,пр-кт маршала Жукова 5,1,45.7,17,23,72210.06564551422
" Тимирязева, 35","1-к квартира, 42 м², 1/9 эт.",1800000,р-н Советский,1 июля 18:20,Тимирязева,35,Тимирязева 35,1,42.0,1,9,42857.142857142855
"Университетскийпр-кт, 50","1-к квартира, 31.9 м², 4/5 эт.",1400000,р-н Советский,,Университетскийпр-кт,50,Университетскийпр-кт 50,1,31.9,4,5,43887.1473354232
" Ханпаши Нурадилова, 7","1-к квартира, 51 м², 17/22 эт.",3350000,р-н Центральный,,Ханпаши Нурадилова,7,Ханпаши Нурадилова 7,1,51.0,17,22,65686.27450980392
" Канунникова, 5","1-к квартира, 30 м², 2/5 эт.",1990000,р-н Ворошиловский,,Канунникова,5,Канунникова 5,1,30.0,2,5,66333.33333333333
"Владимирская, 56","1-к квартира, 36.5 м², 1/3 эт.",1690000,р-н Советский,1 июля 18:09,Владимирская,56,Владимирская 56,1,36.5,1,3,46301.3698630137
" Менжинского, 27","1-к квартира, 35.5 м², 9/9 эт.",1720000,р-н Тракторозаводский,1 июля 18:09,Менжинского,27,Менжинского 27,1,35.5,9,9,48450.704225352114
"пр-кт маршала Жукова, 131","1-к квартира, 30.8 м², 1/5 эт.",1620000,р-н Дзержинский,1 июля 18:09,пр-кт маршала Жукова,131,пр-кт маршала Жукова 131,1,30.8,1,5,52597.40259740259
" Покрышкина, 11","1-к квартира, 53 м², 15/17 эт.",3750000,р-н Дзержинский,,Покрышкина,11,Покрышкина 11,1,53.0,15,17,70754.71698113208
"Селенгинская, 9","1-к квартира, 45.9 м², 1/10 эт.",3450000,р-н Центральный,,Селенгинская,9,Селенгинская 9,1,45.9,1,10,75163.39869281046
" Грибанова, 12","1-к квартира, 34.5 м², 4/4 эт.",1870000,р-н Советский,,Грибанова,12,Грибанова 12,1,34.5,4,4,54202.89855072464
" Рихарда Зорге, 51","1-к квартира, 35 м², 1/9 эт.",1730000,р-н Краснооктябрьский,1 июля 18:09,Рихарда Зорге,51,Рихарда Зорге 51,1,35.0,1,9,49428.57142857143
"Моздокская, 5","1-к квартира, 30.4 м², 5/5 эт.",1690000,р-н Ворошиловский,1 июля 18:09,Моздокская,5,Моздокская 5,1,30.4,5,5,55592.1052631579
" Хользунова, 36/3","1-к квартира, 39.2 м², 9/16 эт.",2000000,р-н Краснооктябрьский,1 июля 18:09,Хользунова,36,Хользунова 36,1,39.2,9,16,51020.4081632653
" Дзержинского, 42","1-к квартира, 29.7 м², 4/5 эт.",1290000,р-н Тракторозаводский,1 июля 18:08,Дзержинского,42,Дзержинского 42,1,29.7,4,5,43434.343434343435
"Новороссийская, 8","1-к квартира, 39.2 м², 17/18 эт.",3870000,р-н Центральный,1 июля 18:09,Новороссийская,8,Новороссийская 8,1,39.2,17,18,98724.48979591836
" Тимирязева, 17А","1-к квартира, 38.5 м², 6/16 эт.",1900000,р-н Советский,1 июля 17:58,Тимирязева,17,Тимирязева 17,1,38.5,6,16,49350.64935064935
"Ангарская, 9В","1-к квартира, 49 м², 6/16 эт.",2730000,р-н Дзержинский,1 июля 17:51,Ангарская,9,Ангарская 9,1,49.0,6,16,55714.28571428572
" маршала Василевского, 2","1-к квартира, 40 м², 1/9 эт.",1980000,р-н Советский,1 июля 17:51,маршала Василевского,2,маршала Василевского 2,1,40.0,1,9,49500.0
"район Семь Ветров,б-р 30летия Победы, 76","1-к квартира, 37.2 м², 9/9 эт.",1760000,р-н Дзержинский,29 июня 08:14,б-р 30летия Победы,76,б-р 30летия Победы 76,1,37.2,9,9,47311.82795698924
