iter	RMSE
0	1404912.847
1	1375646.96
2	1346900.665
3	1320286.947
4	1293339.466
5	1267175
6	1241922.684
7	1217788.17
8	1196977.618
9	1174223.015
10	1152285.39
11	1130343.993
12	1109404.933
13	1089502.742
14	1070808.317
15	1052570.832
16	1033325.502
17	1014941.939
18	998422.5065
19	981686.71
20	965490.8228
21	949644.0973
22	934633.7293
23	920256.242
24	905837.1239
25	891837.4213
26	878538.9405
27	865568.711
28	853454.1734
29	841362.7526
30	830126.2799
31	818539.2427
32	807962.3673
33	797468.5115
34	786830.5737
35	776842.4965
36	767350.5841
37	758764.9386
38	749738.7898
39	741604.2198
40	733449.5718
41	725459.7548
42	717957.1967
43	710818.9806
44	703469.1567
45	696810.3212
46	690037.2954
47	683501.5084
48	677524.8574
49	671216.6951
50	665535.6377
51	659802.5101
52	654590.9635
53	649704.1166
54	645518.2236
55	640874.985
56	636269.0244
57	631723.6208
58	627479.7359
59	623352.1194
60	619507.5321
61	615448.0076
62	612069.5528
63	608811.2173
64	605468.776
65	602455.1843
66	599228.2864
67	596335.4029
68	593205.4239
69	590302.1146
70	587349.1443
71	584478.9584
72	581764.5564
73	579053.5797
74	576528.0329
75	574113.6931
76	571797.9755
77	569579.674
78	567505.1683
79	565122.2482
80	562890.4923
81	560879.6459
82	559005.7166
83	557295.6794
84	555539.6515
85	553618.9571
86	551971.6299
87	550286.878
88	548812.7771
89	547412.8797
90	545867.6651
91	544383.3531
92	542815.248
93	541472.367
94	540233.7461
95	539005.6422
96	537840.7573
97	536591.9503
98	535460.0576
99	534320.837
100	533208.8886
101	532112.3459
102	531024.9677
103	529819.4284
104	529033.7545
105	528182.6394
106	527293.7301
107	526426.3681
108	525446.2843
109	524409.3006
110	523507.2704
111	522665.2375
112	521662.1224
113	520832.3508
114	519903.3976
115	519253.1765
116	518478.0328
117	517648.409
118	516903.3568
119	516315.4856
120	515691.1084
121	514760.8124
122	514166.2508
123	513396.7783
124	512884.7571
125	512103.2574
126	511652.4545
127	510829.3931
128	510212.711
129	509545.1091
130	509008.4117
131	508590.2122
132	507992.5579
133	507578.5782
134	507174.4749
135	506663.931
136	506229.1541
137	505832.874
138	505222.2228
139	504709.7567
140	504150.8559
141	503754.4847
142	503096.1162
143	502576.6716
144	502129.8571
145	501685.0698
146	501297.1697
147	500785.9668
148	500057.1114
149	499427.6519
150	498989.0891
151	498389.3462
152	497768.6883
153	497339.3595
154	496944.5339
155	496517.8659
156	496075.3243
157	495474.7902
158	495077.1669
159	494571.5042
160	494076.9952
161	493498.9698
162	493255.6364
163	492883.2037
164	492308.7461
165	491972.4818
166	491497.0065
167	490958.2237
168	490609.865
169	490363.7757
170	490085.5325
171	489670.5319
172	489311.5227
173	489024.7252
174	488604.6123
175	488286.3149
176	488111.3481
177	487828.0683
178	487491.0042
179	487136.2329
180	486801.0039
181	486624.0196
182	486459.3281
183	486013.5607
184	485754.1142
185	485556.7781
186	485243.6017
187	484881.4035
188	484580.0453
189	484338.4696
190	483989.837
191	483779.7039
192	483478.1498
193	483163.3999
194	482959.1008
195	482718.9851
196	482505.5003
197	482192.6571
198	481716.3068
199	481387.8214
200	481176.4538
201	481028.1136
202	480733.573
203	480560.2505
204	480325.5328
205	480017.6207
206	479786.5875
207	479463.1058
208	479246.6108
209	479008.1907
210	478832.3643
211	478718.2732
212	478595.4033
213	478384.7348
214	478254.277
215	478094.6996
216	477978.7494
217	477685.2099
218	477324.5311
219	476999.9159
220	476816.0713
221	476613.8458
222	476317.6354
223	476164.5653
224	475992.6052
225	475802.2715
226	475700.6942
227	475477.9245
228	475224.7004
229	474952.0572
230	474598.0425
231	474361.7807
232	474213.4062
233	474009.6001
234	473851.9214
235	473522.3504
236	473356.2612
237	473152.7633
238	472962.9627
239	472727.6207
240	472639.8747
241	472255.1555
242	472125.2131
243	472002.8093
244	471818.7024
245	471702.0044
246	471509.5061
247	471342.744
248	471206.0141
249	470980.1308
250	470886.1979
251	470522.1241
252	470364.4918
253	470226.1002
254	469863.8069
255	469624.726
256	469294.1745
257	469209.3221
258	469067.6341
259	468847.2151
260	468695.8894
261	468428.4403
262	468249.1401
263	468106.3818
264	467925.5326
265	467814.4891
266	467643.7996
267	467449.595
268	467238.2186
269	467176.5412
270	466962.9236
271	466817.5981
272	466555.8536
273	466427.8367
274	466197.6219
275	466016.5087
276	465699.2883
277	465515.8265
278	465223.5645
279	464943.6899
280	464790.3394
281	464499.9537
282	464354.017
283	464131.7214
284	463985.2365
285	463812.1007
286	463585.1802
287	463434.6476
288	463324.1661
289	463191.3645
290	463081.1434
291	462796.9765
292	462691.4921
293	462433.3158
294	462156.7911
295	462079.9511
296	461958.9029
297	461865.3183
298	461626.9728
299	461417.1798
300	461239.7491
301	461018.0175
302	460830.5715
303	460690.7899
304	460536.8641
305	460278.2734
306	460112.9225
307	459813.6745
308	459512.8335
309	459176.4639
310	459090.9568
311	458904.4059
312	458784.0116
313	458559.099
314	458454.8704
315	458347.4381
316	457719.3036
317	457489.0699
318	457338.0659
319	457252.0288
320	457122.8808
321	456972.4366
322	456798.1605
323	456673.8934
324	456548.7867
325	456283.8446
326	456049.3491
327	455728.1188
328	455636.4833
329	455490.0312
330	455375.3096
331	455216.2519
332	454742.7336
333	454326.281
334	454213.5273
335	453955.4738
336	453841.3883
337	453585.9047
338	453452.4528
339	453137.5356
