iter	Passed	Remaining
0	70	350053
1	80	201867
2	88	147686
3	94	117914
4	100	99977
5	104	87234
6	110	78994
7	116	72538
8	120	66755
9	125	62800
10	129	58868
11	134	56026
12	139	53682
13	145	51790
14	149	49709
15	154	48184
16	159	46841
17	165	45685
18	171	44833
19	176	43932
20	181	43051
21	188	42580
22	201	43608
23	215	44587
24	229	45653
25	241	46109
26	255	47028
27	264	46977
28	269	46253
29	275	45618
30	280	44977
31	286	44434
32	291	43927
33	297	43412
34	302	42882
35	308	42477
36	313	42086
37	319	41697
38	324	41328
39	330	40958
40	335	40616
41	341	40308
42	347	40049
43	352	39743
44	358	39457
45	363	39133
46	368	38866
47	374	38620
48	379	38384
49	385	38130
50	390	37880
51	395	37676
52	401	37443
53	406	37244
54	411	37011
55	417	36834
56	422	36627
57	428	36468
58	433	36277
59	438	36135
60	444	35972
61	449	35798
62	454	35634
63	459	35435
64	464	35280
65	470	35175
66	475	35035
67	481	34895
68	486	34797
69	492	34713
70	498	34576
71	502	34369
72	506	34212
73	511	34063
74	516	33931
75	521	33786
76	526	33659
77	531	33520
78	534	33312
79	539	33201
80	544	33061
81	549	32954
82	558	33068
83	564	33016
84	568	32896
85	574	32822
86	580	32775
87	585	32662
88	588	32496
89	593	32386
90	598	32263
91	603	32192
92	609	32136
93	613	31997
94	618	31908
95	622	31794
96	627	31716
97	632	31648
98	636	31514
99	641	31446
100	647	31407
101	652	31318
102	657	31242
103	661	31133
104	666	31086
105	671	30990
106	676	30922
107	681	30868
108	687	30845
109	692	30787
110	697	30709
111	702	30669
112	707	30585
113	713	30563
114	718	30519
115	723	30482
116	730	30469
117	735	30417
118	740	30374
119	745	30325
120	750	30265
121	756	30250
122	762	30231
123	768	30206
124	773	30170
125	779	30145
126	784	30103
127	789	30049
128	794	29992
129	798	29921
130	803	29877
131	808	29829
132	813	29787
133	819	29756
134	825	29733
135	830	29697
136	836	29678
137	840	29625
138	846	29587
139	851	29548
140	856	29507
141	861	29458
142	867	29474
143	872	29427
144	878	29406
145	883	29368
146	888	29321
147	894	29318
148	899	29270
149	904	29229
150	910	29229
151	915	29183
152	923	29245
153	928	29231
154	934	29200
155	939	29163
156	944	29148
157	949	29093
158	954	29069
159	959	29029
160	965	29007
161	970	28987
162	976	28975
163	982	28969
164	988	28955
165	992	28904
166	997	28860
167	1001	28816
168	1007	28786
169	1012	28778
170	1018	28750
171	1023	28736
172	1029	28719
173	1034	28697
174	1041	28702
175	1046	28681
176	1051	28648
177	1057	28638
178	1063	28650
179	1069	28642
180	1075	28632
181	1081	28617
182	1086	28593
183	1090	28543
184	1096	28529
185	1100	28482
186	1105	28443
187	1110	28434
188	1116	28418
189	1122	28405
190	1127	28376
191	1131	28338
192	1136	28317
193	1142	28315
194	1148	28291
195	1152	28260
196	1157	28222
197	1163	28227
198	1168	28198
199	1174	28183
200	1179	28153
201	1184	28138
202	1189	28115
203	1194	28093
204	1200	28075
205	1207	28091
206	1212	28075
207	1217	28053
208	1223	28054
209	1229	28035
210	1235	28033
211	1240	28025
212	1246	28012
213	1252	28003
214	1257	27977
215	1262	27966
216	1268	27957
217	1273	27943
218	1279	27941
219	1285	27933
220	1291	27931
221	1297	27924
222	1302	27904
223	1307	27881
224	1314	27898
225	1320	27886
226	1324	27854
227	1330	27855
228	1337	27861
229	1342	27851
230	1348	27837
231	1353	27818
232	1359	27812
233	1365	27804
234	1370	27793
235	1375	27772
236	1384	27829
237	1395	27927
238	1406	28027
239	1415	28083
240	1428	28210
241	1434	28212
242	1440	28202
243	1446	28201
244	1451	28173
245	1456	28150
246	1461	28126
247	1468	28131
248	1472	28105
249	1477	28076
250	1482	28056
251	1488	28049
252	1494	28036
253	1499	28023
254	1505	28020
255	1511	28018
256	1517	28009
257	1523	28010
258	1529	27997
259	1534	27967
260	1543	28021
261	1550	28030
262	1557	28047
263	1562	28031
264	1567	27999
265	1572	27980
266	1577	27967
267	1583	27952
268	1588	27935
269	1593	27910
270	1599	27904
271	1604	27884
272	1609	27876
273	1615	27862
274	1621	27855
275	1626	27845
276	1632	27828
277	1638	27827
278	1644	27822
279	1650	27826
280	1656	27821
281	1662	27809
282	1667	27798
283	1672	27779
284	1677	27748
285	1682	27725
286	1687	27718
287	1693	27706
288	1699	27696
289	1704	27679
290	1709	27664
291	1715	27660
292	1721	27659
293	1727	27651
294	1732	27627
295	1737	27616
296	1743	27604
297	1748	27589
298	1753	27566
299	1759	27566
300	1765	27557
301	1770	27541
302	1775	27526
303	1781	27519
304	1790	27563
305	1796	27552
306	1803	27563
307	1816	27673
308	1833	27828
309	1848	27972
310	1865	28121
311	1880	28262
312	1895	28382
313	1908	28476
314	1924	28623
315	1941	28779
316	1957	28914
