district,rooms,max_floors,count_by_district
Missed,1,2,15
Missed,1,3,3
Missed,1,5,1
Missed,2,1,1
Missed,2,2,14
Missed,2,3,8
Missed,2,4,2
Missed,3,2,6
Missed,3,3,2
Missed,3,4,4
Missed,3,5,4
Missed,4,4,1
Missed,4,5,2
р-н Ворошиловский,1,1,2
р-н Ворошиловский,1,2,19
р-н Ворошиловский,1,3,6
р-н Ворошиловский,1,4,10
р-н Ворошиловский,1,5,174
р-н Ворошиловский,1,9,77
р-н Ворошиловский,1,10,13
р-н Ворошиловский,1,14,17
р-н Ворошиловский,1,15,8
р-н Ворошиловский,1,16,31
р-н Ворошиловский,1,17,13
р-н Ворошиловский,1,18,10
р-н Ворошиловский,1,22,14
р-н Ворошиловский,1,23,4
р-н Ворошиловский,1,28,4
р-н Ворошиловский,2,1,6
р-н Ворошиловский,2,2,19
р-н Ворошиловский,2,3,35
р-н Ворошиловский,2,4,6
р-н Ворошиловский,2,5,252
р-н Ворошиловский,2,7,3
р-н Ворошиловский,2,9,132
р-н Ворошиловский,2,10,23
р-н Ворошиловский,2,11,4
р-н Ворошиловский,2,12,6
р-н Ворошиловский,2,14,7
р-н Ворошиловский,2,15,4
р-н Ворошиловский,2,16,57
р-н Ворошиловский,2,17,25
р-н Ворошиловский,2,18,14
р-н Ворошиловский,2,22,32
р-н Ворошиловский,2,23,13
р-н Ворошиловский,2,25,3
р-н Ворошиловский,2,27,3
р-н Ворошиловский,3,2,18
р-н Ворошиловский,3,3,10
р-н Ворошиловский,3,4,20
р-н Ворошиловский,3,5,192
р-н Ворошиловский,3,7,2
р-н Ворошиловский,3,8,3
р-н Ворошиловский,3,9,204
р-н Ворошиловский,3,10,11
р-н Ворошиловский,3,12,7
р-н Ворошиловский,3,14,11
р-н Ворошиловский,3,15,4
р-н Ворошиловский,3,16,67
р-н Ворошиловский,3,17,7
р-н Ворошиловский,3,18,8
р-н Ворошиловский,3,22,11
р-н Ворошиловский,3,23,8
р-н Ворошиловский,3,25,1
р-н Ворошиловский,3,27,4
р-н Ворошиловский,3,28,2
р-н Ворошиловский,4,2,3
р-н Ворошиловский,4,3,10
р-н Ворошиловский,4,4,5
р-н Ворошиловский,4,5,15
р-н Ворошиловский,4,9,39
р-н Ворошиловский,4,10,2
р-н Ворошиловский,4,11,2
р-н Ворошиловский,4,14,11
р-н Ворошиловский,4,16,1
р-н Ворошиловский,4,18,2
р-н Ворошиловский,4,22,3
р-н Ворошиловский,4,27,3
р-н Ворошиловский,5,9,2
р-н Ворошиловский,5,10,2
р-н Ворошиловский,Своб. планировка,23,1
р-н Ворошиловский,Студия,9,2
р-н Ворошиловский,Студия,16,1
р-н Ворошиловский,Студия,22,1
р-н Ворошиловский,Студия,24,2
р-н Дзержинский,1,2,36
р-н Дзержинский,1,3,34
р-н Дзержинский,1,4,32
р-н Дзержинский,1,5,290
р-н Дзержинский,1,6,50
р-н Дзержинский,1,7,3
р-н Дзержинский,1,8,3
р-н Дзержинский,1,9,456
р-н Дзержинский,1,10,57
р-н Дзержинский,1,11,2
р-н Дзержинский,1,12,15
р-н Дзержинский,1,13,3
р-н Дзержинский,1,14,3
р-н Дзержинский,1,15,2
р-н Дзержинский,1,16,71
р-н Дзержинский,1,17,24
р-н Дзержинский,1,18,17
р-н Дзержинский,1,19,31
р-н Дзержинский,1,20,21
р-н Дзержинский,1,23,22
р-н Дзержинский,1,24,19
р-н Дзержинский,2,1,5
р-н Дзержинский,2,2,71
р-н Дзержинский,2,3,43
р-н Дзержинский,2,4,28
р-н Дзержинский,2,5,422
р-н Дзержинский,2,6,38
р-н Дзержинский,2,7,9
р-н Дзержинский,2,8,12
р-н Дзержинский,2,9,516
р-н Дзержинский,2,10,59
р-н Дзержинский,2,11,15
р-н Дзержинский,2,12,24
р-н Дзержинский,2,13,10
р-н Дзержинский,2,14,10
р-н Дзержинский,2,15,3
р-н Дзержинский,2,16,67
р-н Дзержинский,2,17,22
р-н Дзержинский,2,18,14
р-н Дзержинский,2,19,35
р-н Дзержинский,2,20,7
р-н Дзержинский,2,21,2
р-н Дзержинский,2,22,5
р-н Дзержинский,2,23,9
р-н Дзержинский,2,24,6
р-н Дзержинский,3,1,3
р-н Дзержинский,3,2,22
р-н Дзержинский,3,3,11
р-н Дзержинский,3,4,24
р-н Дзержинский,3,5,321
р-н Дзержинский,3,6,39
р-н Дзержинский,3,7,3
р-н Дзержинский,3,8,7
р-н Дзержинский,3,9,447
р-н Дзержинский,3,10,107
р-н Дзержинский,3,11,9
р-н Дзержинский,3,12,26
р-н Дзержинский,3,13,10
р-н Дзержинский,3,14,19
р-н Дзержинский,3,15,15
р-н Дзержинский,3,16,63
р-н Дзержинский,3,17,19
р-н Дзержинский,3,18,12
р-н Дзержинский,3,19,18
р-н Дзержинский,3,20,7
р-н Дзержинский,3,23,8
р-н Дзержинский,3,24,4
р-н Дзержинский,4,2,8
р-н Дзержинский,4,3,4
р-н Дзержинский,4,4,1
р-н Дзержинский,4,5,64
р-н Дзержинский,4,6,16
р-н Дзержинский,4,9,88
р-н Дзержинский,4,10,23
р-н Дзержинский,4,12,1
р-н Дзержинский,4,14,4
р-н Дзержинский,4,15,2
р-н Дзержинский,4,16,10
р-н Дзержинский,4,17,14
р-н Дзержинский,4,23,2
р-н Дзержинский,5,5,7
р-н Дзержинский,5,9,6
р-н Дзержинский,6,4,3
р-н Дзержинский,Студия,4,9
р-н Дзержинский,Студия,5,6
р-н Дзержинский,Студия,7,3
р-н Дзержинский,Студия,9,14
р-н Дзержинский,Студия,10,7
р-н Дзержинский,Студия,19,7
р-н Дзержинский,Студия,23,2
р-н Дзержинский,Студия,24,1
р-н Кировский,1,1,7
р-н Кировский,1,2,21
р-н Кировский,1,3,15
р-н Кировский,1,4,158
р-н Кировский,1,5,279
р-н Кировский,1,6,11
р-н Кировский,1,7,6
р-н Кировский,1,9,83
р-н Кировский,1,10,76
р-н Кировский,1,14,2
р-н Кировский,1,16,35
р-н Кировский,1,18,5
р-н Кировский,1,24,3
р-н Кировский,2,2,76
р-н Кировский,2,3,35
р-н Кировский,2,4,97
р-н Кировский,2,5,291
р-н Кировский,2,6,3
р-н Кировский,2,7,4
р-н Кировский,2,8,2
р-н Кировский,2,9,93
р-н Кировский,2,10,81
р-н Кировский,2,11,5
р-н Кировский,2,14,8
р-н Кировский,2,16,9
р-н Кировский,2,18,4
р-н Кировский,2,24,2
р-н Кировский,3,2,16
р-н Кировский,3,3,28
р-н Кировский,3,4,70
р-н Кировский,3,5,129
р-н Кировский,3,6,4
р-н Кировский,3,9,133
р-н Кировский,3,10,27
р-н Кировский,3,14,2
р-н Кировский,3,16,27
р-н Кировский,3,24,1
р-н Кировский,4,3,1
р-н Кировский,4,4,4
р-н Кировский,4,5,43
р-н Кировский,4,9,30
р-н Кировский,4,16,8
р-н Кировский,5,16,2
р-н Кировский,Своб. планировка,5,2
р-н Кировский,Студия,5,6
р-н Кировский,Студия,10,3
р-н Красноармейский,1,1,1
р-н Красноармейский,1,2,14
р-н Красноармейский,1,3,32
р-н Красноармейский,1,4,84
р-н Красноармейский,1,5,506
р-н Красноармейский,1,7,1
р-н Красноармейский,1,9,253
р-н Красноармейский,1,10,19
р-н Красноармейский,1,11,7
