district,rooms,max_floors,count_by_district
Missed,1,2,19
Missed,1,3,5
Missed,1,5,2
Missed,2,1,2
Missed,2,2,20
Missed,2,3,12
Missed,2,4,4
Missed,3,2,6
Missed,3,3,1
Missed,3,4,3
Missed,3,5,4
Missed,4,4,1
Missed,4,5,3
р-н Ворошиловский,1,1,2
р-н Ворошиловский,1,2,25
р-н Ворошиловский,1,3,6
р-н Ворошиловский,1,4,10
р-н Ворошиловский,1,5,230
р-н Ворошиловский,1,9,99
р-н Ворошиловский,1,10,19
р-н Ворошиловский,1,14,19
р-н Ворошиловский,1,15,12
р-н Ворошиловский,1,16,39
р-н Ворошиловский,1,17,19
р-н Ворошиловский,1,18,13
р-н Ворошиловский,1,22,12
р-н Ворошиловский,1,23,6
р-н Ворошиловский,1,25,1
р-н Ворошиловский,1,28,4
р-н Ворошиловский,2,1,11
р-н Ворошиловский,2,2,30
р-н Ворошиловский,2,3,54
р-н Ворошиловский,2,4,9
р-н Ворошиловский,2,5,352
р-н Ворошиловский,2,6,1
р-н Ворошиловский,2,7,5
р-н Ворошиловский,2,9,206
р-н Ворошиловский,2,10,36
р-н Ворошиловский,2,11,8
р-н Ворошиловский,2,12,7
р-н Ворошиловский,2,14,9
р-н Ворошиловский,2,15,6
р-н Ворошиловский,2,16,85
р-н Ворошиловский,2,17,33
р-н Ворошиловский,2,18,21
р-н Ворошиловский,2,22,43
р-н Ворошиловский,2,23,14
р-н Ворошиловский,2,25,6
р-н Ворошиловский,2,27,4
р-н Ворошиловский,3,2,18
р-н Ворошиловский,3,3,10
р-н Ворошиловский,3,4,20
р-н Ворошиловский,3,5,195
р-н Ворошиловский,3,7,2
р-н Ворошиловский,3,8,3
р-н Ворошиловский,3,9,201
р-н Ворошиловский,3,10,11
р-н Ворошиловский,3,12,7
р-н Ворошиловский,3,14,11
р-н Ворошиловский,3,15,3
р-н Ворошиловский,3,16,67
р-н Ворошиловский,3,17,7
р-н Ворошиловский,3,18,6
р-н Ворошиловский,3,22,12
р-н Ворошиловский,3,23,8
р-н Ворошиловский,3,27,4
р-н Ворошиловский,3,28,2
р-н Ворошиловский,4,2,3
р-н Ворошиловский,4,3,15
р-н Ворошиловский,4,4,9
р-н Ворошиловский,4,5,23
р-н Ворошиловский,4,9,47
р-н Ворошиловский,4,10,2
р-н Ворошиловский,4,11,3
р-н Ворошиловский,4,14,19
р-н Ворошиловский,4,16,1
р-н Ворошиловский,4,18,2
р-н Ворошиловский,4,22,4
р-н Ворошиловский,5,5,1
р-н Ворошиловский,5,9,4
р-н Ворошиловский,5,10,3
р-н Ворошиловский,Своб.планировка,23,1
р-н Ворошиловский,Студия,9,4
р-н Ворошиловский,Студия,16,1
р-н Ворошиловский,Студия,22,1
р-н Ворошиловский,Студия,24,3
р-н Дзержинский,1,2,51
р-н Дзержинский,1,3,44
р-н Дзержинский,1,4,37
р-н Дзержинский,1,5,368
р-н Дзержинский,1,6,72
р-н Дзержинский,1,7,5
р-н Дзержинский,1,8,3
р-н Дзержинский,1,9,594
р-н Дзержинский,1,10,71
р-н Дзержинский,1,11,3
р-н Дзержинский,1,12,22
р-н Дзержинский,1,13,4
р-н Дзержинский,1,14,5
р-н Дзержинский,1,15,3
р-н Дзержинский,1,16,95
р-н Дзержинский,1,17,28
р-н Дзержинский,1,18,26
р-н Дзержинский,1,19,45
р-н Дзержинский,1,20,22
р-н Дзержинский,1,23,33
р-н Дзержинский,1,24,26
р-н Дзержинский,2,1,8
р-н Дзержинский,2,2,110
р-н Дзержинский,2,3,57
р-н Дзержинский,2,4,41
р-н Дзержинский,2,5,607
р-н Дзержинский,2,6,55
р-н Дзержинский,2,7,10
р-н Дзержинский,2,8,16
р-н Дзержинский,2,9,727
р-н Дзержинский,2,10,92
р-н Дзержинский,2,11,19
р-н Дзержинский,2,12,34
р-н Дзержинский,2,13,17
р-н Дзержинский,2,14,16
р-н Дзержинский,2,15,5
р-н Дзержинский,2,16,88
р-н Дзержинский,2,17,33
р-н Дзержинский,2,18,21
р-н Дзержинский,2,19,57
р-н Дзержинский,2,20,10
р-н Дзержинский,2,21,3
р-н Дзержинский,2,22,8
р-н Дзержинский,2,23,15
р-н Дзержинский,2,24,8
р-н Дзержинский,3,1,4
р-н Дзержинский,3,2,23
р-н Дзержинский,3,3,11
р-н Дзержинский,3,4,22
р-н Дзержинский,3,5,325
р-н Дзержинский,3,6,39
р-н Дзержинский,3,7,3
р-н Дзержинский,3,8,7
р-н Дзержинский,3,9,453
р-н Дзержинский,3,10,104
р-н Дзержинский,3,11,9
р-н Дзержинский,3,12,27
р-н Дзержинский,3,13,11
р-н Дзержинский,3,14,19
р-н Дзержинский,3,15,13
р-н Дзержинский,3,16,63
р-н Дзержинский,3,17,14
р-н Дзержинский,3,18,13
р-н Дзержинский,3,19,20
р-н Дзержинский,3,20,7
р-н Дзержинский,3,23,8
р-н Дзержинский,3,24,4
р-н Дзержинский,4,2,11
р-н Дзержинский,4,3,5
р-н Дзержинский,4,4,2
р-н Дзержинский,4,5,98
р-н Дзержинский,4,6,20
р-н Дзержинский,4,9,116
р-н Дзержинский,4,10,32
р-н Дзержинский,4,12,2
р-н Дзержинский,4,14,5
р-н Дзержинский,4,15,1
р-н Дзержинский,4,16,16
р-н Дзержинский,4,17,15
р-н Дзержинский,4,23,3
р-н Дзержинский,5,5,9
р-н Дзержинский,5,9,8
р-н Дзержинский,6,4,3
р-н Дзержинский,Студия,4,10
р-н Дзержинский,Студия,5,9
р-н Дзержинский,Студия,7,4
р-н Дзержинский,Студия,9,24
р-н Дзержинский,Студия,10,10
р-н Дзержинский,Студия,19,9
р-н Дзержинский,Студия,23,3
р-н Дзержинский,Студия,24,1
р-н Кировский,1,1,9
р-н Кировский,1,2,27
р-н Кировский,1,3,18
р-н Кировский,1,4,200
р-н Кировский,1,5,369
р-н Кировский,1,6,17
р-н Кировский,1,7,9
р-н Кировский,1,9,111
р-н Кировский,1,10,110
р-н Кировский,1,14,2
р-н Кировский,1,16,45
р-н Кировский,1,18,7
р-н Кировский,1,24,5
р-н Кировский,2,2,108
р-н Кировский,2,3,54
р-н Кировский,2,4,145
р-н Кировский,2,5,432
р-н Кировский,2,6,7
р-н Кировский,2,7,7
р-н Кировский,2,8,3
р-н Кировский,2,9,135
р-н Кировский,2,10,122
р-н Кировский,2,11,7
р-н Кировский,2,14,11
р-н Кировский,2,16,13
р-н Кировский,2,18,6
р-н Кировский,2,24,3
р-н Кировский,3,2,17
р-н Кировский,3,3,28
р-н Кировский,3,4,72
р-н Кировский,3,5,130
р-н Кировский,3,6,5
р-н Кировский,3,9,137
р-н Кировский,3,10,25
р-н Кировский,3,14,2
р-н Кировский,3,16,27
р-н Кировский,3,24,1
р-н Кировский,4,3,2
р-н Кировский,4,4,7
р-н Кировский,4,5,61
