district,rooms,max_floors,rub_by_district
Missed,1,2,21270.903423781405
Missed,1,3,41352.94117647059
Missed,1,5,16666.666666666668
Missed,2,1,16666.666666666668
Missed,2,2,20241.57352670671
Missed,2,3,45962.1675607466
Missed,2,4,17235.772357723577
Missed,3,2,15372.432402541097
Missed,3,3,11428.571428571433
Missed,3,4,15758.928571428576
Missed,3,5,33056.64600550964
Missed,4,4,19927.536231884056
Missed,4,5,40000.0
р-н Ворошиловский,1,1,46774.1935483871
р-н Ворошиловский,1,2,42450.14363968071
р-н Ворошиловский,1,3,40955.74316330325
р-н Ворошиловский,1,4,50500.326598489
р-н Ворошиловский,1,5,58555.068395408096
р-н Ворошиловский,1,9,57943.547498436405
р-н Ворошиловский,1,10,71089.92889118024
р-н Ворошиловский,1,14,57686.63833065502
р-н Ворошиловский,1,15,68336.03483346046
р-н Ворошиловский,1,16,69373.00385093043
р-н Ворошиловский,1,17,76438.57402926832
р-н Ворошиловский,1,18,61951.81726561801
р-н Ворошиловский,1,22,66650.34738581834
р-н Ворошиловский,1,23,59331.91489361701
р-н Ворошиловский,1,28,80234.8336594912
р-н Ворошиловский,2,1,33174.59784270729
р-н Ворошиловский,2,2,40852.410063792384
р-н Ворошиловский,2,3,45766.142588635536
р-н Ворошиловский,2,4,50213.32599764525
р-н Ворошиловский,2,5,51649.77160550067
р-н Ворошиловский,2,7,60414.71488351759
р-н Ворошиловский,2,9,55911.05062189685
р-н Ворошиловский,2,10,63215.36985187504
р-н Ворошиловский,2,11,58063.03462321792
р-н Ворошиловский,2,12,69198.08201058202
р-н Ворошиловский,2,14,68483.0069762556
р-н Ворошиловский,2,15,73769.79417479274
р-н Ворошиловский,2,16,63074.6559487051
р-н Ворошиловский,2,17,64341.41505812158
р-н Ворошиловский,2,18,64314.52017547157
р-н Ворошиловский,2,22,64994.03132788498
р-н Ворошиловский,2,23,71555.21269005843
р-н Ворошиловский,2,25,69763.40101773628
р-н Ворошиловский,2,27,75757.57575757576
р-н Ворошиловский,3,2,34422.76025160542
р-н Ворошиловский,3,3,43365.1453687328
р-н Ворошиловский,3,4,44023.57242358739
р-н Ворошиловский,3,5,48081.55478531524
