district,rooms,max_floors,rub_by_district
Missed,1,2,22395.18776188285
Missed,1,3,40156.149732620324
Missed,1,5,17083.333333333336
Missed,2,1,16666.666666666668
Missed,2,2,19937.8926749478
Missed,2,3,46075.80392438296
Missed,2,4,15103.275789251398
Missed,3,2,15372.432402541097
Missed,3,3,11428.571428571433
Missed,3,4,15952.380952380956
Missed,3,5,33056.64600550964
Missed,4,4,19927.536231884056
Missed,4,5,40000.0
р-н Ворошиловский,1,1,46774.1935483871
р-н Ворошиловский,1,2,42893.758841998984
р-н Ворошиловский,1,3,40955.74316330325
р-н Ворошиловский,1,4,50500.326598489
р-н Ворошиловский,1,5,58295.31050405422
р-н Ворошиловский,1,9,58132.29096162458
р-н Ворошиловский,1,10,71786.8508995123
р-н Ворошиловский,1,14,57678.56812591399
р-н Ворошиловский,1,15,67373.037519872
р-н Ворошиловский,1,16,68048.07320529758
р-н Ворошиловский,1,17,76440.6839942768
р-н Ворошиловский,1,18,62810.352187519304
р-н Ворошиловский,1,22,62443.740052479894
р-н Ворошиловский,1,23,59632.82894231507
р-н Ворошиловский,1,25,58035.714285714275
р-н Ворошиловский,1,28,80234.8336594912
р-н Ворошиловский,2,1,33344.21343361494
р-н Ворошиловский,2,2,40590.94068513903
р-н Ворошиловский,2,3,46317.4529053059
р-н Ворошиловский,2,4,52258.49688990352
р-н Ворошиловский,2,5,51950.24671553943
р-н Ворошиловский,2,6,66666.66666666669
р-н Ворошиловский,2,7,60275.43563799888
р-н Ворошиловский,2,9,55797.07174002331
р-н Ворошиловский,2,10,63839.307327758805
р-н Ворошиловский,2,11,59697.22737930304
р-н Ворошиловский,2,12,70453.36667005111
р-н Ворошиловский,2,14,67155.01014418404
р-н Ворошиловский,2,15,73490.02403131152
р-н Ворошиловский,2,16,63498.828093830474
р-н Ворошиловский,2,17,64350.009004777115
р-н Ворошиловский,2,18,64789.169084609755
р-н Ворошиловский,2,22,64851.0166150881
р-н Ворошиловский,2,23,67975.87517108841
р-н Ворошиловский,2,25,71182.95164434212
р-н Ворошиловский,2,27,75631.31313131313
р-н Ворошиловский,3,2,34422.76025160542
р-н Ворошиловский,3,3,43365.1453687328
р-н Ворошиловский,3,4,44023.57242358739
р-н Ворошиловский,3,5,48240.98518569351
р-н Ворошиловский,3,7,54658.53404233135
р-н Ворошиловский,3,8,59060.5970037733
р-н Ворошиловский,3,9,52821.260716948105
р-н Ворошиловский,3,10,55165.04759959297
р-н Ворошиловский,3,12,62614.20521077283
р-н Ворошиловский,3,14,51362.56586516149
р-н Ворошиловский,3,15,57307.69230769231
