street,rooms,max_floors,count_by_street
10й дивизии НКВД,2,5,1
11,1,4,1
13й Гвардейской дивизии,1,5,5
13й Гвардейской дивизии,2,4,2
13й Гвардейской дивизии,2,5,6
1А,3,5,1
1й Пятилетки,2,3,1
1й Пятилетки,2,5,1
27,2,5,1
2й квартал,2,4,2
2й квартал,3,4,1
2й квартал,3,5,1
2й квартал,4,4,1
2я Динамовская,1,10,2
2я Динамовская,2,2,2
2я Динамовская,2,9,6
2я Динамовская,2,10,4
2я Динамовская,3,2,1
2я Динамовская,3,9,2
2я Караванная,1,9,5
2я Караванная,2,2,2
2я Караванная,2,9,2
2я Караванная,3,9,5
2я Штурманская,1,5,11
2я Штурманская,1,9,8
2я Штурманская,2,2,3
2я Штурманская,2,5,13
2я Штурманская,2,9,14
2я Штурманская,3,2,2
2я Штурманская,3,5,8
2я Штурманская,3,9,13
35 Гвардейской дивизии,1,5,23
35 Гвардейской дивизии,1,9,7
35 Гвардейской дивизии,2,4,3
35 Гвардейской дивизии,2,5,10
35 Гвардейской дивизии,2,6,2
35 Гвардейской дивизии,2,9,19
35 Гвардейской дивизии,3,5,8
35 Гвардейской дивизии,3,9,14
35 Гвардейской дивизии,4,9,3
37,1,9,2
39 Грвардейская,4,16,1
39й Гвардейской дивизии,1,9,22
39й Гвардейской дивизии,2,9,18
39й Гвардейской дивизии,3,9,8
39й Гвардейской дивизии,4,9,12
39й Гвардейской дивизии,4,16,5
39й Гвардейской дивизии,6,9,2
40 Домиков,3,2,2
40 лет ВЛКСМ,1,3,10
40 лет ВЛКСМ,1,4,23
40 лет ВЛКСМ,1,5,1
40 лет ВЛКСМ,2,3,14
40 лет ВЛКСМ,2,4,6
40 лет ВЛКСМ,2,5,2
40 лет ВЛКСМ,3,3,6
40 лет ВЛКСМ,3,4,7
40 лет ВЛКСМ,Студия,4,1
42,1,19,2
4й Участок,3,2,1
4й Участок,4,2,1
4х Связистов,1,9,4
4х Связистов,2,9,7
50 лет Октября,1,5,16
50 лет Октября,1,9,26
50 лет Октября,1,10,1
50 лет Октября,1,16,3
50 лет Октября,1,17,2
50 лет Октября,2,5,54
50 лет Октября,2,9,6
50 лет Октября,2,10,5
50 лет Октября,3,5,24
50 лет Октября,3,9,25
50 лет Октября,4,5,3
50 лет Октября,4,16,1
50 лет Октября,Своб. планировка,10,2
50 лет Октября,Студия,10,1
50летия ВЛКСМ,4,5,4
51 Гвардейской дивизии,1,5,44
51 Гвардейской дивизии,1,6,4
51 Гвардейской дивизии,1,7,2
51 Гвардейской дивизии,1,9,60
51 Гвардейской дивизии,1,10,7
51 Гвардейской дивизии,2,4,1
51 Гвардейской дивизии,2,5,36
51 Гвардейской дивизии,2,7,2
51 Гвардейской дивизии,2,9,47
51 Гвардейской дивизии,2,10,1
51 Гвардейской дивизии,3,5,34
51 Гвардейской дивизии,3,9,11
51 Гвардейской дивизии,3,10,15
51 Гвардейской дивизии,4,5,10
51 Гвардейской дивизии,4,9,6
51 Гвардейской дивизии,6,4,3
51 Гвардейской дивизии,Студия,5,3
51 Гвардейской дивизии,Студия,7,3
51 Гвардейской дивизии,Студия,9,8
51 Гвардейской дивизии,Студия,10,7
5й участок,2,2,6
5й участок,5,2,2
60,2,9,1
64 Армии,1,4,3
64 Армии,1,5,92
64 Армии,1,6,2
64 Армии,1,10,15
64 Армии,1,16,5
64 Армии,2,3,3
64 Армии,2,4,6
64 Армии,2,5,63
64 Армии,2,6,1
64 Армии,2,9,18
64 Армии,2,10,4
64 Армии,3,3,2
64 Армии,3,4,1
64 Армии,3,5,41
64 Армии,3,9,19
64 Армии,3,16,12
64 Армии,4,5,3
64 Армии,4,9,4
7 Гвардейской,1,5,6
7 Гвардейской,2,5,13
7 Гвардейской,2,7,4
7 Гвардейской,2,16,3
7 Гвардейской,3,5,6
7 Гвардейской,3,7,2
7 Гвардейской,3,16,3
70летия Победы,1,5,27
70летия Победы,1,6,1
70летия Победы,1,16,10
70летия Победы,2,5,12
70летия Победы,2,6,1
70летия Победы,2,16,4
70летия Победы,3,6,1
8 Воздушной Армии,1,9,51
8 Воздушной Армии,1,10,1
8 Воздушной Армии,1,12,1
8 Воздушной Армии,1,16,2
8 Воздушной Армии,1,17,5
8 Воздушной Армии,1,18,7
8 Воздушной Армии,1,19,3
8 Воздушной Армии,2,9,45
8 Воздушной Армии,2,10,1
8 Воздушной Армии,2,12,2
8 Воздушной Армии,2,14,7
8 Воздушной Армии,2,16,18
8 Воздушной Армии,2,18,4
8 Воздушной Армии,2,19,5
8 Воздушной Армии,2,20,1
8 Воздушной Армии,3,9,76
8 Воздушной Армии,3,10,1
8 Воздушной Армии,3,14,11
8 Воздушной Армии,3,16,16
8 Воздушной Армии,3,19,4
8 Воздушной Армии,4,9,9
8 Воздушной Армии,4,16,5
8 Воздушной Армии,4,17,3
95 Гвардейской дивизии,1,4,4
95 Гвардейской дивизии,3,4,13
95 Гвардейской дивизии,3,5,5
Авиаторская,1,9,7
Авиаторская,1,10,3
Авиаторская,1,11,3
Авиаторская,1,16,2
Авиаторская,2,8,3
Авиаторская,2,9,3
Авиаторская,2,10,2
Авиаторская,2,11,5
Авиаторская,2,16,1
Авиаторская,3,8,2
Авиаторская,3,9,10
Авиаторская,3,16,1
Автомагистральная,1,9,9
Автомагистральная,2,9,22
Автомагистральная,3,9,5
Автомобилистов,1,5,3
Автомобилистов,2,5,12
Автомобилистов,3,5,13
Автомобилистов,4,5,6
Автотранспортная,1,3,3
Автотранспортная,2,5,4
Автотранспортная,3,3,2
Автотранспортная,3,5,7
Аджарская,1,2,8
Аджарская,1,5,5
Аджарская,1,12,23
Аджарская,1,14,1
Аджарская,2,2,3
Аджарская,2,12,7
Аджарская,3,5,15
Адмирала Ушакова,3,4,4
Азовская,4,3,3
Академическая,1,5,9
Академическая,2,5,4
Академическая,3,5,3
Алексеевская,2,5,12
Алексеевская,2,9,7
Алексеевская,3,5,13
Алексеевская,3,9,4
Алексеевская,4,5,4
Алексеевская,4,9,2
Алийская,1,5,1
Алийская,2,2,2
Алийская,2,5,1
Алийская,3,5,2
Аллея Героев,1,5,1
Аллея Героев,2,6,3
Аллея Героев,2,7,4
Аллея Героев,2,8,4
Аллея Героев,3,7,9
Аллея Героев,3,8,4
Аллея Героев,Студия,9,2
Ангарская,1,2,2
Ангарская,1,5,10
Ангарская,1,9,1
Ангарская,1,10,8
Ангарская,1,16,16
Ангарская,1,17,1
Ангарская,1,19,16
Ангарская,1,23,1
Ангарская,2,2,5
Ангарская,2,5,6
Ангарская,2,8,2
Ангарская,2,9,12
Ангарская,2,10,4
Ангарская,2,11,5
Ангарская,2,12,3
Ангарская,2,16,5
Ангарская,2,17,2
Ангарская,2,18,1
Ангарская,2,19,14
Ангарская,2,21,2
Ангарская,2,23,2
Ангарская,3,5,13
Ангарская,3,6,2
Ангарская,3,8,5
Ангарская,3,9,2
Ангарская,3,10,2
Ангарская,3,12,4
Ангарская,3,15,6
Ангарская,3,16,8
Ангарская,4,5,4
Ангарская,4,6,2
Ангарская,4,10,3
Ангарская,4,15,2
Ангарская,Студия,23,2
Ангарская,Студия,24,1
Андреева,1,5,1
Андреева,3,5,5
Анри Барбюса,1,2,1
Анри Барбюса,2,2,7
Аракская,1,5,1
Аракская,2,5,4
Аракская,3,5,4
Ардатовская,1,4,1
Ардатовская,2,4,2
Ардатовская,2,5,2
Ардатовская,2,9,5
Ардатовская,2,10,2
Ардатовская,3,5,1
Ардатовская,3,10,3
Ардатовская,5,10,2
Аренского,1,5,11
Аренского,4,6,1
Армавирская,1,4,2
Армавирская,1,5,5
Армавирская,2,3,1
Армавирская,2,4,16
Армавирская,2,5,4
Армавирская,3,3,3
Армавирская,3,4,9
Армавирская,4,4,4
Армавирская,Своб. планировка,5,2
Армавирская,Студия,5,6
Арсеньева,1,5,4
Арсеньева,1,9,16
Арсеньева,2,3,2
Арсеньева,2,4,6
Арсеньева,2,5,2
Арсеньева,2,9,5
Арсеньева,3,3,5
Арсеньева,3,4,5
Арсеньева,3,9,13
Арсеньева,4,9,1
Атласова,2,2,4
Ачинский,2,3,2
Ачинский,3,3,5
Ачинскийеулок,3,3,1
Аэропорт,1,3,1
Аэропорт,1,4,2
Аэропорт,1,5,3
Аэропорт,2,3,5
Аэропорт,2,4,2
Аэропорт,2,5,12
Аэропорт,3,3,2
Аэропорт,3,5,4
Аэропорт,4,3,1
Аэропорт,4,5,1
Аэропортовский,1,4,1
Аэропортовский,1,5,2
Аэропортовский,1,10,5
Аэропортовский,1,11,1
Аэропортовский,2,4,1
Аэропортовский,3,4,3
Аэропортовский,4,4,3
Аэрофлотская,1,9,4
Аэрофлотская,1,10,4
Аэрофлотская,2,9,2
Аэрофлотская,2,10,1
Аэрофлотская,3,9,5
Бабича,1,4,4
Бабича,2,4,2
Бажова,1,9,6
Бажова,2,5,9
Бажова,2,9,1
Бажова,5,9,5
Базарова,1,5,1
Базарова,1,6,17
Базарова,1,7,21
Базарова,1,8,3
Базарова,1,9,1
Базарова,2,5,2
Базарова,2,6,11
Базарова,2,7,8
Базарова,2,8,1
Базарова,3,7,3
Байдакова,1,2,4
Байдакова,1,3,2
Байдакова,2,2,5
Байдакова,3,2,1
Бакинская,1,5,3
Бакинская,1,16,4
Бакинская,2,4,3
Бакинская,2,5,12
Бакинская,2,9,6
Бакинская,2,16,4
Бакинская,2,17,2
Бакинская,3,5,4
Бакинская,3,9,5
Бакинская,3,16,2
Бакинская,4,9,7
Бакинская,4,10,4
Бакинская,5,10,2
Бакинская,Студия,16,3
Балакирева,1,9,2
Балакирева,1,10,6
Балакирева,2,10,9
Балакирева,Студия,10,2
Бамбуковая,1,1,6
Банный,1,2,1
Банный,3,2,3
Банныйеулок,1,2,1
Баррикадная,1,5,1
Баррикадная,1,9,3
Баррикадная,1,10,7
Баррикадная,2,3,9
Баррикадная,2,5,8
Баррикадная,2,10,3
Баррикадная,3,10,2
Баррикадная,4,10,1
Батальонная,1,18,6
Батальонная,2,18,7
Батальонная,2,19,1
Батальонная,3,17,8
Батальонная,3,18,9
Батальонная,3,20,1
Батальонная,4,17,2
Батова,1,5,3
Батова,1,14,7
Батова,2,4,1
Батова,2,5,1
Батова,2,14,5
Баумана,1,5,1
Баумана,1,9,2
Баумана,2,5,3
Баумана,2,9,2
Баумана,3,5,1
Баумана,3,9,5
Баумана,4,5,1
Бахтурова,1,4,9
Бахтурова,1,5,5
Бахтурова,2,3,12
Бахтурова,2,4,2
Бахтурова,2,5,8
Безымянная,1,5,5
Библиотечная,1,9,10
Библиотечная,2,9,13
Библиотечная,3,9,14
Библиотечная,3,10,1
Библиотечная,4,16,6
Бобруйская,1,5,9
Бобруйская,1,9,2
Бобруйская,2,5,11
Бобруйская,2,9,9
Бобруйская,3,5,15
Бобруйская,Студия,9,2
Богданова,1,2,1
Богданова,1,9,8
Богданова,1,16,5
Богданова,2,2,3
Богданова,2,9,16
Богданова,2,16,2
Богданова,3,9,6
Богданова,3,16,4
Богданова,4,16,5
Богданова,Студия,9,2
Богунская,1,5,6
Богунская,1,9,2
Богунская,2,2,3
Богунская,2,5,12
Богунская,2,9,3
Богунская,3,4,7
Богунская,3,5,8
Богунская,3,9,2
Большая,2,2,2
Большая,3,2,3
Борьбы,1,5,10
Борьбы,2,3,6
Борьбы,2,4,7
Борьбы,2,5,20
Борьбы,3,4,28
Борьбы,3,5,12
Брасовская,2,2,2
Брасовская,3,2,6
Брестская,1,4,1
Брестская,1,5,17
Брестская,2,3,8
Брестская,2,4,5
Брестская,2,5,43
Брестская,3,3,13
Брестская,3,5,20
Брестская,4,5,4
Бурейская,1,9,20
Бурейская,1,16,2
Бурейская,1,17,2
Бурейская,2,3,2
Бурейская,2,4,6
Бурейская,2,9,8
Бурейская,2,16,2
Бурейская,3,5,1
Бурейская,3,12,5
Бурейская,3,14,1
Бурейская,3,16,5
Бурейская,3,17,2
Бурейская,4,12,1
Бурейская,5,9,2
Бутурлиновская,2,1,1
Бутурлиновская,3,2,2
Быкова,1,5,9
Быкова,2,5,16
Быкова,2,9,5
Быкова,3,5,12
Быкова,3,9,5
Быкова,4,5,3
Быстрова,1,5,8
Быстрова,1,9,32
Быстрова,1,10,36
Быстрова,2,2,2
Быстрова,2,5,10
Быстрова,2,8,2
Быстрова,2,9,6
Быстрова,2,10,54
Быстрова,2,11,5
Быстрова,3,5,3
Быстрова,3,9,10
Быстрова,3,10,7
Быстрова,Студия,10,3
В.И. Ленина,1,7,6
В.И. Ленина,2,4,10
В.И. Ленина,2,5,3
В.И. Ленина,2,6,1
В.И. Ленина,2,7,1
В.И. Ленина,3,4,6
В.И. Ленина,3,8,1
Валентины Терешковой,1,4,16
Валентины Терешковой,1,5,12
Валентины Терешковой,2,2,1
Валентины Терешковой,2,4,13
Валентины Терешковой,2,5,12
Валентины Терешковой,2,6,2
Валентины Терешковой,3,2,2
Валентины Терешковой,3,4,6
Валентины Терешковой,3,5,13
Валентины Терешковой,4,5,9
Варшавская,1,5,2
Варшавская,1,9,10
Варшавская,1,10,2
Варшавская,2,9,3
Варшавская,2,10,3
Варшавская,2,11,1
Варшавская,3,9,1
Ващенко,2,3,9
Вельботная,1,5,2
Вельботная,2,5,2
Вельботная,3,5,3
Вершинина,1,5,5
Вершинина,1,9,3
Вершинина,2,5,9
Вершинина,2,9,1
Вершинина,3,5,4
Вершинина,3,9,3
Веселая Балка,1,2,3
Веселая Балка,1,4,6
Веселая Балка,2,2,17
Веселая Балка,2,3,7
Веселая Балка,2,4,16
Веселая Балка,3,2,8
Веселая Балка,3,3,12
Веселая Балка,3,4,2
Веселая Балка,4,3,1
Вилянская,3,2,1
Владимирская,1,3,16
Владимирская,1,9,4
Владимирская,2,9,32
Владимирская,2,10,1
Владимирская,3,9,22
Владимирская,3,10,5
Водная,2,1,1
Водников,1,5,1
Водников,2,4,5
Водников,2,5,2
Водников,2,9,2
Военный городок,1,5,29
Военный городок,2,5,36
Военный городок,3,5,10
Военный городок,4,5,12
Возрождения,3,2,1
Волгоград,1,16,1
Волгоград,4,16,1
Волгоградская,1,2,3
Волгоградская,1,5,18
Волгоградская,1,9,8
Волгоградская,2,2,3
Волгоградская,2,5,12
Волгоградская,2,9,9
Волгоградская,3,5,14
Волгоградская,3,9,10
Волгоградская,3,10,2
Волжскийпр-кт,2,5,1
Волнистая,4,2,1
Вольная,2,1,2
Воровского,2,2,6
Воронкова,1,2,5
Воронкова,1,4,2
Воронкова,2,4,3
Воронкова,2,9,2
Воронкова,3,9,3
Воронова,1,14,2
Восточная,2,2,2
Восточная,2,3,1
Восточная,3,2,1
ВосточноКазахстанская,1,5,7
ВосточноКазахстанская,2,2,1
ВосточноКазахстанская,2,5,12
ВосточноКазахстанская,3,5,4
ВосточноКазахстанская,3,9,2
Вучетича,1,3,2
Вучетича,1,5,2
Вучетича,1,9,1
Вучетича,1,10,3
Вучетича,2,3,3
Вучетича,2,5,20
Вучетича,3,3,2
Вучетича,3,10,1
Вучетича,4,9,4
Вучетича,4,10,12
Высокая,1,6,9
Высокая,1,8,2
Высокая,1,16,20
Высокая,2,7,6
Высокая,2,8,5
Высокая,2,16,4
Высокая,2,17,5
Высокая,Студия,16,17
Высокая,Студия,17,4
Высокая,Студия,18,1
Гагарина,2,5,7
Гагарина,2,7,4
Гагарина,3,5,10
Гагринская,1,9,1
Гагринская,2,9,5
Гагринская,3,9,14
Гагринская,4,9,5
Гаря Хохолова,1,24,3
